AccountID,FULL_NAME,Country,Email,Date_of_Birth,Created_At,Status
1,Taro Koga,JP,taro.koga609@gmail.com,1987-01-26,2021-01-02,banned
2,John Duncan,US,john.duncan935@gmail.com,1997-06-09,2021-01-06,active
3,Marcelo Nogueira,BR,marcelo.nogueira852@yahoo.com,2005-08-17,2021-01-12,active
4,Manabu Miyake,JP,manabu.miyake642@gmail.com,2006-12-01,2021-01-15,active
5,Simone Prevost,FR,simone.prevost233@gmail.com,2007-02-18,2021-01-16,active
6,Yuichi Ogata,JP,yuichi.ogata906@hotmail.com,1988-08-17,2021-01-19,active
7,Giacomo Pizzo,IT,giacomo.pizzo143@gmail.com,1994-06-10,2021-01-30,active
8,Mohit Shankar,IN,mohit.shankar900@gmail.com,2007-05-17,2021-01-31,active
9,Pedro Torres,ES,pedro.torres255@yahoo.com,1990-04-07,2021-02-01,active
10,Ignazio Giordano,IT,ignazio.giordano453@icloud.com,1985-01-21,2021-02-09,active
11,Aurora Mariani,IT,aurora.mariani899@gmail.com,2002-07-28,2021-02-11,active
12,Martina Palmieri,IT,martina.palmieri56@icloud.com,2001-01-11,2021-02-11,active
13,Olivia Malmqvist,SE,olivia.malmqvist968@icloud.com,1986-02-26,2021-02-12,active
14,Patricio Ramírez,ES,patricio.ramrez850@gmail.com,1989-09-17,2021-02-15,active
15,Filippa Gustafsson,SE,filippa.gustafsson288@hotmail.com,1991-10-09,2021-02-21,active
16,Luisa Padilla,MX,luisa.padilla838@outlook.com,1999-11-02,2021-02-26,active
17,Giuliana Lombardi,IT,giuliana.lombardi807@gmail.com,1997-06-12,2021-02-27,active
18,Peter Kramer,NL,peter.kramer261@gmail.com,1994-01-29,2021-03-01,active
19,Armando Fontana,IT,armando.fontana572@icloud.com,1989-05-09,2021-03-01,freezed
20,Sonia Górski,PL,sonia.grski817@icloud.com,1998-09-02,2021-03-05,active
21,Hajime Yano,JP,hajime.yano886@outlook.com,1986-08-15,2021-03-06,active
22,Joon-gi Do,KR,joongi.do699@icloud.com,1989-10-15,2021-03-09,active
23,Vincent Ruiter,NL,vincent.ruiter301@gmail.com,1991-08-04,2021-03-10,active
24,Hugues Sanchez,FR,hugues.sanchez63@gmail.com,1991-07-17,2021-03-13,active
25,Sylvia Bos,NL,sylvia.bos655@icloud.com,1986-05-21,2021-03-13,active
26,Ryoma Yoshida,JP,ryoma.yoshida644@gmail.com,1998-11-07,2021-03-14,active
27,Baptiste Durand,FR,baptiste.durand28@gmail.com,1986-12-11,2021-03-19,active
28,Stefania Gajewski,PL,stefania.gajewski469@gmail.com,1995-03-22,2021-03-20,active
29,Jacky Lopez,FR,jacky.lopez204@yahoo.com,1989-02-24,2021-03-25,active
30,Aaron Bell,CA,aaron.bell474@icloud.com,1993-11-02,2021-03-26,freezed
31,Simón Pascual,ES,simn.pascual187@icloud.com,2001-11-20,2021-03-30,active
32,Esmeralda Lara,MX,esmeralda.lara965@gmail.com,1998-11-11,2021-04-03,active
33,Yash Pandit,IN,yash.pandit911@yahoo.com,1986-10-03,2021-04-07,active
34,Francisco Delgado,ES,francisco.delgado515@icloud.com,1987-11-03,2021-04-08,banned
35,Jacob Carter,AU,jacob.carter154@gmail.com,2005-10-27,2021-04-10,active
